Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\SoapCore.Benchmark.csproj,,,Microsoft.AspNetCore.TestHost 8.0.13,,,,,"Microsoft.AspNetCore.TestHost, 8.0.13  Recommendation:  Remove Microsoft.AspNetCore.TestHost, and replace with new package Microsoft.AspNetCore.TestHost 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\SoapCore.Benchmark.csproj,,,,,,,,Current target framework: netcoreapp3.1;net8.0 Recommended target framework: netcoreapp3.1;net8.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\Program.cs,76,6,T:System.Net.Http.HttpContent,,,,,msg.Content = content;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\Program.cs,61,6,T:System.Net.Http.HttpContent,,,,,msg.Content = content;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\Program.cs,35,3,T:Microsoft.AspNetCore.WebHost,,,,,var builder = WebHost.CreateDefaultBuilder()  				.ConfigureLogging(logging => logging.SetMinimumLevel(LogLevel.Critical))  				.UseStartup<Startup>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\PingService.cs,5,2,M:System.ServiceModel.ServiceContractAttribute.#ctor,,,,,"ServiceContract(Name=""PingService"", Namespace=""http://example.org/PingService"")"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\PingService.cs,5,2,T:System.ServiceModel.ServiceContractAttribute,,,,,"ServiceContract(Name=""PingService"", Namespace=""http://example.org/PingService"")"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\PingService.cs,10,3,M:System.ServiceModel.OperationContractAttribute.#ctor,,,,,"OperationContract(Action=""http://example.org/PingService/EchoAsync"", Name=""EchoAsync"", ReplyAction=""http://example.org/PingService/EchoAsync"")"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\PingService.cs,10,3,T:System.ServiceModel.OperationContractAttribute,,,,,"OperationContract(Action=""http://example.org/PingService/EchoAsync"", Name=""EchoAsync"", ReplyAction=""http://example.org/PingService/EchoAsync"")"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\PingService.cs,8,3,M:System.ServiceModel.OperationContractAttribute.#ctor,,,,,"OperationContract(Action=""http://example.org/PingService/Echo"", Name=""Echo"", ReplyAction=""http://example.org/PingService/Echo"")"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore.Benchmark\SoapCore.Benchmark.csproj,File,SoapCore.Benchmark\PingService.cs,8,3,T:System.ServiceModel.OperationContractAttribute,,,,,"OperationContract(Action=""http://example.org/PingService/Echo"", Name=""Echo"", ReplyAction=""http://example.org/PingService/Echo"")"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\SoapCore.csproj,,,System.CodeDom 9.0.2,,,,,"System.CodeDom, 9.0.2  Recommendation:  Remove System.CodeDom, and replace with new package System.CodeDom 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\SoapCore.csproj,,,Microsoft.AspNetCore.Connections.Abstractions 9.0.2,,,,,"Microsoft.AspNetCore.Connections.Abstractions, 9.0.2  Recommendation:  Remove Microsoft.AspNetCore.Connections.Abstractions, and replace with new package Microsoft.AspNetCore.Connections.Abstractions 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\SoapCore.csproj,,,System.Text.Json 9.0.2,,,,,"System.Text.Json, 9.0.2  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SoapCore\SoapCore.csproj,File,SoapCore\SoapCore.csproj,,,,,,,,Current target framework: netstandard2.0;netstandard2.1;net8.0;netcoreapp3.1 Recommended target framework: netstandard2.0;netstandard2.1;net8.0;netcoreapp3.1;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,329,2,T:System.ServiceModel.Channels.Message,,,,,private void ThrowIfMismatchedMessageVersion(Message message)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,T:System.ServiceModel.Channels.MessageVersion,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,P:System.ServiceModel.Channels.Message.Version,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,T:System.ServiceModel.EnvelopeVersion,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,P:System.ServiceModel.Channels.MessageVersion.Envelope,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,T:System.ServiceModel.Channels.MessageVersion,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,P:System.ServiceModel.Channels.Message.Version,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,333,4,T:System.ServiceModel.EnvelopeVersion,,,,,"throw new InvalidOperationException($""Message version {message.Version.Envelope} doesn't match encoder version {message.Version.Envelope}"");"
